,meme_id,plantilla,texto_no_tilde,text_1,text_2
3,009,No me digas,Quiero unas chelas Micindo,None,None
5,013,Yao Wonka,¿¿que ser humano jala comunicacion y religion?? ... jajajaja..,None,None
21,004,Bad Luck Brian,Cuando juegas minecraft y tontin te encuentra,None,None
23,003,Ay Si,No si la loca,None,None
26,003,Ay Si,AY SI AY SI CREARON GRUPO Y NO ME INVITARON,None,None
30,012,Willy Wonka,que tienes lag en minecrafT? Comprate cuenta premium y listo,None,None
32,003,Ay Si,"Pero ayer el Rey Hay si hay si, Lily va a ser mia",None,None
35,011,Problems,no lo soporto canta muy feo las de Silvio Melendez,None,None
37,010,Prepare Yourself,Preparaos Memes de parejas ñoñas/brutales se acercan,None,None
39,009,No me digas,VISTO,None,None
44,006,Filosoraptor,"""esto es una broma para tinelli""",None,None
53,006,Filosoraptor,la radio la television los diarios el internet,None,None
57,006,Filosoraptor,NOT SURE IF SARCASM OR REALLY GREATEFUL,None,None
58,006,Filosoraptor,todo lo inventamos para que LOS METAN EN UN LOQUERO,None,None
60,011,Problems,Cuando me acuerdo que no tengo pareja Para la tarea,None,None
61,006,Filosoraptor,te van a decir no sirve eso,None,None
62,006,Filosoraptor,si tanto odian a peppa por que los niños son tan pendejos,None,None
63,004,Bad Luck Brian,compra un libro para estudiar los combos siempre que llega al showdown el rival lleva las nuts,None,None
64,006,Filosoraptor,¡sorpresa1 era una joda lalalalalalalalala,None,None
68,006,Filosoraptor,es un problema imaginario?,None,None
70,008,Matias Prats,"ULTIMAS NOTICIAS HOY ES EL GRAN DÍA, EL CUMPLE DE DON CARLOS GAMBOA. NO FALTEN !!",None,None
74,004,Bad Luck Brian,jeje,None,None
76,013,Yao Wonka,I am Paul Jjjjjj yo la vi primero Willian ademas Rosner es mi cuñado,None,None
77,009,No me digas,cuando mis padres salen de la casa y me dicen ahora estas acargo,None,None
84,004,Bad Luck Brian,PIDE CO,None,None
92,004,Bad Luck Brian,CREE QUE NADA SALE DE LA NADA CREE EN dIOS,None,None
94,013,Yao Wonka,when te preguntan si tienes novia :v,None,None
99,004,Bad Luck Brian,Se va antes del trabajo La agarra el corte en la pasarela de estampado,None,None
100,004,Bad Luck Brian,Deja de ser socialista y progre Se vuelve anarcocapitalista e hincha de Ayn Rand,None,None
106,009,No me digas,entiendelo... Magallanes no sirve para un coño,None,None
111,003,Ay Si,Te atreverias a regalarme una Foto sexy,None,None
123,009,No me digas,NO Esque tengo una cita con el piso,None,None
124,004,Bad Luck Brian,La invitan a las posadas era la ultima,None,None
127,013,Yao Wonka,jaja me bloquea y desbloquea para ver que hago busca ayuda no te engañes,None,None
129,004,Bad Luck Brian,La invitan a las posadas ya era la ultima,None,None
135,008,Matias Prats,Y en otras noticias El carburador de obed no tiene manual,None,None
137,004,Bad Luck Brian,Ti iblin Sindri,None,None
142,008,Matias Prats,Policia muere tras un golpe por la espalda Se podria decir que bajo la guardia,None,None
145,008,Matias Prats,AUNQUE ESO YA NO ES NOVEDAD... ES UN GAY QUE LE GUSTA EL JUARIS....,None,None
150,008,Matias Prats,Y ENTRE OTRAS NOTICIAS MI QUERIDA CARY.. ME TIENE ABANDONADO....,None,None
154,004,Bad Luck Brian,si deveriamos de ir a echar chelas,None,None
155,008,Matias Prats,Joven deja a su pareja en Paris Se podria decir que se despidio a la francesa,None,None
157,004,Bad Luck Brian,quiere tener un buen futuro trabaja en sese,None,None
158,006,Filosoraptor,sera q evelyn me metio a los 15,None,None
160,004,Bad Luck Brian,"Marcos Guidi Trabaja en la oficina de la mujer, y las llama ""gato"" cuando las ve con macri.",None,None
164,006,Filosoraptor,ah no pero apenas es martes,None,None
166,008,Matias Prats,La policia no pudo hablar con el DJ Siempre estaba cambiando de tema,None,None
167,007,Futurama Fry,Tipico cuando te mandan mensages Y no sabes para que,None,None
176,008,Matias Prats,Hola Karina,None,None
177,006,Filosoraptor,UN ABRAZO DE JENNY,None,None
182,007,Futurama Fry,Sera que a berman le dan permiso... ...hagamos las apuestas !!!,None,None
191,012,Willy Wonka,y?,None,None
198,012,Willy Wonka,no saben que ganaron,None,None
199,012,Willy Wonka,se preguntan entre ellos y no saben,None,None
204,006,Filosoraptor,¿si un vampiro se muerde la lengua? ¿se convierte otra vez?,None,None
205,012,Willy Wonka,"claro, la gente es tonta y cree que son buenos",None,None
207,012,Willy Wonka,cual era el objetivo de hacer todo esto?,None,None
208,012,Willy Wonka,hay miren que vivo que soy aaaaaaaaaahahaha,None,None
209,012,Willy Wonka,Asi que querias fin de año en la playa? que me dices guille?,None,None
212,011,Problems,vuelva luego,None,None
214,012,Willy Wonka,la pantalla todavia no se puso verde,None,None
215,009,No me digas,Mi amiga cuando le digo: mira disimuladamente! jajajaja,None,None
216,006,Filosoraptor,hasme 3 preguntas y yo te las respondere ojo!! pero solo quedaran entre tu y yo,None,None
217,012,Willy Wonka,y se va a poner verde la pantalla?,None,None
218,012,Willy Wonka,yo no le creo a nadie asi que conmigo no cuenten,None,None
223,005,Disaster Girl,Decian que no tenian calefaccion Ya tienen!!,None,None
226,012,Willy Wonka,Asi que eres angie Dime que se siente ser tan perra,None,None
231,001,Ancient Aliens,Peruvians,None,None
234,006,Filosoraptor,mujer que  pelea sera que tiene celos,None,None
235,002,Annoying Gamer Kid,Si bien Mercecido,None,None
244,004,Bad Luck Brian,DAN FERIADO EL LUNES 2 ESTÁ DE VACACIONES,None,None
245,012,Willy Wonka,Asi q Elva puede doblarla? Dime que se siente Elva,None,None
246,007,Futurama Fry,tiene Internet pero credito,None,None
