,meme_id,plantilla,texto_no_tilde,text_1,text_2
5,012,Willy Wonka,haci que sos de riber,None,None
8,004,Bad Luck Brian,va a votar vota nulo,None,None
10,006,Filosoraptor,¿si vienen los zombis? ¿sonbienvenidos?,None,None
12,013,Yao Wonka,asi que eres justin bieber quese siente ser gay,None,None
18,004,Bad Luck Brian,quiere panzerotti echan a doña marta,None,None
21,012,Willy Wonka,asi que sos de riber,None,None
22,012,Willy Wonka,asi que eres brayan moreno que se siente quedarse con mi prima,None,None
23,005,Disaster Girl,fredy me dijo ponga gasolina y prenda el equipo dijo,None,None
25,011,Problems,lo extraño muxo pero  k voy hacer si lo tenia  chiquito,None,None
27,009,No me digas,te hago un kiko,None,None
29,012,Willy Wonka,A si que Estuvo divertIdo el fIn de semana Dime que se siente no haber hecho ninguna tarea.,None,None
39,003,Ay Si,compare yo le pongo el puro pulmon no mah,None,None
45,001,Ancient Aliens,Esto es fundamental,None,None
47,003,Ay Si,AHY SI AHY SI DICE ES FEA  PARA QUE LOS GILEROS LE DIGAN ERES BONITA AHY SI AHY SI,None,None
50,003,Ay Si,AHY SI AHY SI DICE QUE ES FEA  PARA QUE LOS GILEROS LE DIGAN ERES BONITA AHY SI AHY SI,None,None
51,011,Problems,no hay que llorar por el pasado si no por el presente,None,None
53,001,Ancient Aliens,Tecno,None,None
58,012,Willy Wonka,A Si QUE ERES DE LA U DIME QUE SE SIENTE VIVIR DEL ARRENDATARIO,None,None
60,012,Willy Wonka,"ASI QUE TE GUSTA BESAR ABUELITAS DIME QUE SE SIENTE, SENTIR DIENTES POSTIZOS",None,None
63,001,Ancient Aliens,Marx es... fundamental,None,None
65,012,Willy Wonka,oye ling ling te acorday de las 5 lucresias que le debi al lefum chan?,None,None
67,011,Problems,GENTE TONTA!!! PORQUE NO VATARON POR GROB,None,None
68,005,Disaster Girl,yo le dije que fuera de la u pero era del colo fallecio,None,None
69,006,Filosoraptor,llegara esta imagen a los 100 mg,None,None
70,012,Willy Wonka,Asi que desayunas diario en el cobay Que se siente ser un chayote!!!!,None,None
72,012,Willy Wonka,"ASI QUE ERES ORGULLOSAMENTE PERREDISTA? DIME, QUE SENTISTE NO HABER QUEDADO DE DELEGADO EN MORENA?",None,None
76,003,Ay Si,hay si hay si me creo bien perron porque soy cholo de zapacueca,None,None
80,013,Yao Wonka,SI TODOS PIENSAN QUE JUSTIN ES GAY   LIKE Y COMENTA LO MUCHO QUE LO ODIAS,None,None
84,003,Ay Si,"ay si,ay si me creo  porque soy neo tracher",None,None
87,013,Yao Wonka,el y homero son igualitos!! papa he hijo,None,None
88,011,Problems,lo invite ami casa y se chingo ami hermana y ami mama,None,None
95,012,Willy Wonka,"A si que te gustan los jonas brothers? Dime, que se siente que goku no exista y tenga mas fans que ellos",None,None
96,010,Prepare Yourself,yo mellamo el papi,None,None
106,002,Annoying Gamer Kid,da like para tomarle una foto a justin bieber,None,None
111,003,Ay Si,Hay si hay si me borro de facebook que malote,None,None
114,002,Annoying Gamer Kid,va perdiendo  dice que no juega encerio,None,None
119,011,Problems,pense que solo era un pedo pero me cague,None,None
131,004,Bad Luck Brian,se tira como concejal saca cero votos,None,None
138,005,Disaster Girl,mi vecino  nunca me compro el helado,None,None
139,004,Bad Luck Brian,crea su facebook olvida la contraseña,None,None
142,008,Matias Prats,se anuncia que el lunes regresa jasmin perca asu labores de estudio,None,None
143,004,Bad Luck Brian,va a ver jugar a millonarios pierde,None,None
147,011,Problems,una cerveza nada mas amaneci sin pelo,None,None
150,003,Ay Si,que me miras yo no fui,None,None
151,005,Disaster Girl,era la casa de mi profe  de matematicas ''era'',None,None
154,001,Ancient Aliens,una cerveza nada mas amaneci sin pelo,None,None
155,004,Bad Luck Brian,Saca por primera vez reaper no mata a nadie,None,None
162,004,Bad Luck Brian,si ha visto la pelicula  los tontos dicen si,None,None
164,001,Ancient Aliens,paso gta 1 2 3 4 en un dia es un aliens,None,None
165,003,Ay Si,"ay si,,,,,ay si que bien jugaron los vaqueritos,,pareja!",None,None
169,003,Ay Si,"ay si,,,,ay si que bien jugaron los vaqueritos,,pareja!!",None,None
