,meme_id,plantilla,texto_no_tilde,text_1,text_2
44,011,Problems,le dije 3 puntos y solo me dio 2,le dije 3 puntos, y solo me dio 2
76,006,Filosoraptor,"EL CHOCOLATE VIENE DEL CACAO... EL CACAO VIENE DE UN ÁRBOL, ENTONCES, ¿CUENTA COMO ENSALADA?",EL CHOCOLATE VIENE DEL CACAO... EL CACAO VIENE DE UN ÁRBOL ENTONCES ,¿CUENTA COMO ENSALADA?
105,005,Disaster Girl,vivia con una boliviana si si vivia,vivia con una boliviana si si ,vivia
144,011,Problems,Me dijeron que no hiciera el cuestionario Todos lo llevaron y reprobe,Me dijeron que no hiciera el cuestionario Todos lo llevaron, y reprobe
170,004,Bad Luck Brian,"Queda atrapado en una isla, pero lo rescata un barco... El titanic",Queda atrapado en una isla pero, lo rescata un barco... El titanic
172,011,Problems,borro una formula y dice que ella no fue,borro una formula, y dice que ella no fue
175,005,Disaster Girl,Angela sera lider decian Todad ira bien decian...,Angela sera lider decian Todad ira bien ,decian...
275,003,Ay Si,Uy si..uy si Muy caballerito,Uy si..uy si, Muy caballerito
364,006,Filosoraptor,¿si denny muere? no tendriamos a quien explotar,,¿si denny muere? no tendriamos a quien explotar
441,008,Matias Prats,ultima hora se le informa a johana olivero q tiene q trabajar mientras q colombia juega jajajaja,ultima hora, se le informa a johana olivero q tiene q trabajar mientras q colombia juega jajajaja
460,004,Bad Luck Brian,Caba para abajo se cae a la laba,Caba para abajo, se cae a la laba
505,003,Ay Si,Hay si Llego Maxihueco,Hay si, Llego Maxihueco
519,006,Filosoraptor,"si voto por polo ¿tendra los ""cojones"" de seguir sin saludarme?",si voto por polo ,"¿tendra los ""cojones"" de seguir sin saludarme?"
580,003,Ay Si,ay si montas la de soltera y bonita tiene dos hijos y mas hitorias que emergencia de hospital,ay si, montas la de soltera y bonita tiene dos hijos y mas hitorias que emergencia de hospital
587,003,Ay Si,Ay si ay si Ora resulta que tire la barbie,Ay si ay si, Ora resulta que tire la barbie
689,003,Ay Si,huy si se la da del importante,huy si, se la da del importante
698,012,Willy Wonka,asi que eres ateo dime que se siente estar pendiente de algo que no existe,asi que eres ateo ,dime que se siente estar pendiente de algo que no existe
770,012,Willy Wonka,asi que te llamas carol dime que se siente ser tan chata,asi que te llamas carol ,dime que se siente ser tan chata
833,004,Bad Luck Brian,"se consigue uno clandestinamente para grabar paisajes, atardeceres y juegos de polvora el 31 de dic le cae la ley",se consigue uno clandestinamente para grabar paisajes atardeceres y juegos de polvora el 31 de dic, le cae la ley
841,012,Willy Wonka,¿Asi que eres filosofo? dime que se siente ser pedido para rellenar crucigramas,¿Asi que eres filosofo? ,dime que se siente ser pedido para rellenar crucigramas
856,007,Futurama Fry,no se si el HTML es sencillo o no lo entiendo,no se si el HTML es sencillo, o no lo entiendo
