,meme_id,plantilla,texto_no_tilde,text_1,text_2
1,004,Bad Luck Brian,ba a una fiesta se quema,ba a una fiesta, se quema
15,012,Willy Wonka,ASI QUE  lloraste por una mujer...... dime que se siente amar de verdad ..,ASI QUE  lloraste por una mujer...... ,dime que se siente amar de verdad ..
17,004,Bad Luck Brian,se hace amigo de tito  y lo matan x andar con ese gay,se hace amigo de tito  y, lo matan x andar con ese gay
35,003,Ay Si,ay si ay si le da like a las publicaciones de mi novia y me pongo celoso,ay si ay si, le da like a las publicaciones de mi novia y me pongo celoso
38,012,Willy Wonka,asi que ya eres azul dime que se siente ser tan sexy,asi que ya eres azul ,dime que se siente ser tan sexy
43,012,Willy Wonka,kolu dime que se siente que un brasilero te trate de gay?,kolu ,dime que se siente que un brasilero te trate de gay?
81,003,Ay Si,"ay si ay si va a una fiesta, se llama jaqueline, la daniela pide la jaquesita y se menea!",ay si ay si, va a una fiesta se llama jaqueline la daniela pide la jaquesita y se menea!
89,003,Ay Si,ay si soy tan malo que me pongo los tatuajes del chicle,ay si, soy tan malo que me pongo los tatuajes del chicle
92,003,Ay Si,ay si AY SI  me creo mucho porque vi a la pelona,ay si, AY SI  me creo mucho porque vi a la pelona
99,003,Ay Si,hay si  le digo bobo amis compañeros  y que malote,hay si,  le digo bobo amis compañeros  y que malote
102,004,Bad Luck Brian,compra un PPv  se le va la luz,compra un PPv , se le va la luz
104,004,Bad Luck Brian,agrega un admin le borran el contenido,agrega un admin, le borran el contenido
121,004,Bad Luck Brian,consigue tener una relacion constante se la derivan,consigue tener una relacion constante, se la derivan
123,012,Willy Wonka,asi k no fuiste a la fiesta de gala!! dime k se siente averte perdido la mejor fiesta del año!,asi k no fuiste a la fiesta de gala!! ,dime k se siente averte perdido la mejor fiesta del año!
124,003,Ay Si,ay si ay si me creo por que mi  carnal es jorge,ay si ay si, me creo por que mi  carnal es jorge
135,004,Bad Luck Brian,kevin se fapea  viene su mama,kevin, se fapea  viene su mama
144,012,Willy Wonka,asi que has estado en facebook todo el  fin de semana dime que se siente estar pensado en la tarea toda la noche Del Domingo,asi que has estado en facebook todo el  fin de semana ,dime que se siente estar pensado en la tarea toda la noche Del Domingo
152,004,Bad Luck Brian,"va al cajero por el ultimo xix y le ""tragan"" la tarjeta",va al cajero por el ultimo xix y," le ""tragan"" la tarjeta"
157,004,Bad Luck Brian,hace la tarea y no se la califican,hace la tarea y no, se la califican
167,003,Ay Si,ay si ay si angelica se cree pituka,ay si ay si, angelica se cree pituka
171,003,Ay Si,Ay si ay si ! se hace llamar alien y solo ama a los Kaulitz,Ay si ay si, ! se hace llamar alien y solo ama a los Kaulitz
172,004,Bad Luck Brian,crusa la pista  le atropella un avion,crusa la pista , le atropella un avion
178,012,Willy Wonka,ASI QUE ERES POLICIA dime que se siente saber ahora despues de los abusos en la parada lo que los pobladores de conga sufrieron con tus abusos,ASI QUE ERES POLICIA ,dime que se siente saber ahora despues de los abusos en la parada lo que los pobladores de conga sufrieron con tus abusos
181,004,Bad Luck Brian,ayer le quite las rueditas chicas a mi bicicleta,ayer, le quite las rueditas chicas a mi bicicleta
187,003,Ay Si,ay si ay si  te borro todo el contenido,ay si ay si,  te borro todo el contenido
189,012,Willy Wonka,ASI QUE ERES POLICIA dime ¿que se siente saber ahora despues de los abusos que recibiste en la parada lo que los pobladores de conga sufrieron con tus abusos?,ASI QUE ERES POLICIA ,dime ¿que se siente saber ahora despues de los abusos que recibiste en la parada lo que los pobladores de conga sufrieron con tus abusos?
197,004,Bad Luck Brian,usa condon le da sida y se muere,usa condon, le da sida y se muere
200,012,Willy Wonka,asi que fue tu novia y la dejaste por otra? cuentame que se siente reencontrarla mas hermosa y que ya no te pele??,asi que fue tu novia y la dejaste por otra? ,cuentame que se siente reencontrarla mas hermosa y que ya no te pele??
201,003,Ay Si,"ay si, ay si soy peña y vivo en ahiti!!!",ay si ay si, soy peña y vivo en ahiti!!!
205,012,Willy Wonka,que hablas a mis espaldas dime que se siente ser una hopocrita,que hablas a mis espaldas ,dime que se siente ser una hopocrita
214,004,Bad Luck Brian,quiere ordenar una botella se le quiebra,quiere ordenar una botella, se le quiebra
217,012,Willy Wonka,asi que eres rodrigo fernandez dime que se siente que te webeen y te pongas a llorar en las partys,asi que eres rodrigo fernandez ,dime que se siente que te webeen y te pongas a llorar en las partys
219,012,Willy Wonka,y dime karolina toro k se siente ser la mas guapa d todas tus primas,y ,dime karolina toro k se siente ser la mas guapa d todas tus primas
225,004,Bad Luck Brian,se hace un trasplante de higado para poder tomar  al dia siguiente se avaba el mundo,se hace un trasplante de higado para poder tomar  al dia siguiente, se avaba el mundo
226,012,Willy Wonka,asi que eres anahi eh dime que se siente hacerle manuales al director,asi que eres anahi eh ,dime que se siente hacerle manuales al director
240,003,Ay Si,ay si me corto unas lineas  en el cabello y me creo pista de autos,ay si, me corto unas lineas  en el cabello y me creo pista de autos
249,012,Willy Wonka,asi que hiciste un chancho de goma? dime que se siente que ese chancho te la ponga?,asi que hiciste un chancho de goma? ,dime que se siente que ese chancho te la ponga?
250,007,Futurama Fry,Nose si es mercedes sosa  o loyola,Nose si es mercedes sosa , o loyola
251,004,Bad Luck Brian,queria practicar sexo anal con su flaca ella le metio la rata,queria practicar sexo anal con su flaca ella, le metio la rata
257,004,Bad Luck Brian,Pone un estado chido todos se lo copian :p,Pone un estado chido todos, se lo copian :p
260,003,Ay Si,ay si ay si solo por que le dan vuelta a un disco se creen dj,ay si ay si, solo por que le dan vuelta a un disco se creen dj
266,003,Ay Si,ay si ay si solo por que te dan like te crees popular,ay si ay si, solo por que te dan like te crees popular
269,004,Bad Luck Brian,se salva del incendio lo atropellan los bomberos,se salva del incendio, lo atropellan los bomberos
271,004,Bad Luck Brian,se cambia de carrera le vuelan la raja en la semana de carrera,se cambia de carrera, le vuelan la raja en la semana de carrera
273,003,Ay Si,hay si que por que juego rugby soy un animal,hay si, que por que juego rugby soy un animal
277,012,Willy Wonka,asi q trabajas en la muni cuentame q se siente imprimir curriculums,asi q trabajas en la muni ,cuentame q se siente imprimir curriculums
286,004,Bad Luck Brian,Sale con 1 mina se la hace zenz..,Sale con 1 mina, se la hace zenz..
297,004,Bad Luck Brian,Lo llaman para la obra de la escuela lo eligen de arbol,Lo llaman para la obra de la escuela, lo eligen de arbol
303,012,Willy Wonka,asi que eres el protagonista de tu historia dime que se siente ser tan gary stu como yugi y ash,asi que eres el protagonista de tu historia ,dime que se siente ser tan gary stu como yugi y ash
307,004,Bad Luck Brian,Quiere hacer el amor con justin bieber lo rechasa,Quiere hacer el amor con justin bieber, lo rechasa
313,012,Willy Wonka,asi que te uniste a esta pagina dime que se siente ser tan sexi,asi que te uniste a esta pagina ,dime que se siente ser tan sexi
