,meme_id,plantilla,texto_no_tilde,text_1,text_2
0,012,Willy Wonka,Tener novia y llevarla a todo lado El lado triste es pedirle prestado a tu ex para hacerlo,None,None
2,008,Matias Prats,"no quiero ser mitotero pero hoy en las noticas, se casa panda",None,None
8,003,Ay Si,Ay si Ay si Asistire al 2CID,None,None
16,003,Ay Si,uy chele q fuerte esa imagen me matas viejo,None,None
20,010,Prepare Yourself,un monuto de silencio panda se ha casado,None,None
21,010,Prepare Yourself,un minuto de silencio panda se ha casado,None,None
25,001,Ancient Aliens,SOLO HAY UNA EXPLICACION PARA ESTO SEXO,None,None
28,012,Willy Wonka,hola tito,None,None
32,003,Ay Si,Ay si nomas se va a casar y ya ni me abla,None,None
39,003,Ay Si,Pelas,None,None
42,005,Disaster Girl,CUANDO TE DICE NOOB Y LE HACES VS,None,None
58,009,No me digas,AH ! que padre,None,None
63,003,Ay Si,hay no puede ser,None,None
72,005,Disaster Girl,mis vecinos me dijeron que no me ivan a traer los reyes polvito para volar,None,None
76,012,Willy Wonka,AsI que eres la mama de nela Dime que se siente darle comida al yerno,None,None
78,012,Willy Wonka,AsI que te gusta pamela? Que se siente que este como que un cerdo vuele?,None,None
81,012,Willy Wonka,AsI que te gusta pamela? Que se siente que te tenga en friendzone,None,None
88,005,Disaster Girl,cuando fui al oratorio le pedi a dios que quemara la casa de mi suegra,None,None
109,004,Bad Luck Brian,se burla de nacional por empatar de local pierde de local con los suplentes de huracan,None,None
116,009,No me digas,milagro lo hiso mejor que todos,None,None
117,010,Prepare Yourself,un minuto de silencio por nuestros amigos que se casan,None,None
131,012,Willy Wonka,que se siente no poder bajar la ola,None,None
135,003,Ay Si,Ay si!! Dulce e Isabel Son amiga amiga de la bolsa roja,None,None
136,001,Ancient Aliens,si tiene cara de papa su mama esta abierta de patas,None,None
137,013,Yao Wonka,Jajaja... Ya te maleaste Pero no me callare,None,None
140,003,Ay Si,AY SI AY SI  AHORA RESULTA QUE TEODORO SHALOOM  ES  HARE KRISHNA,None,None
145,005,Disaster Girl,yo no hice nada,None,None
148,007,Futurama Fry,yair mediana,None,None
156,007,Futurama Fry,AsI que te gustan las conchas?,None,None
163,012,Willy Wonka,mi culito quiere verga,None,None
165,007,Futurama Fry,en este grupo hay un yeguero,None,None
172,004,Bad Luck Brian,Como barnie,None,None
173,010,Prepare Yourself,"Preparense, ya vienen los pendejos Con sus predicciones de la ban",None,None
201,003,Ay Si,lo k pasa k vives de lo k disen,None,None
203,001,Ancient Aliens,juegan a la silla musical udd,None,None
211,003,Ay Si,Ay si ay me siento bien verga Porque el Jose me ama,None,None
232,004,Bad Luck Brian,el martes voy como loco a rendir (recursa la materia),None,None
233,010,Prepare Yourself,"macri, reclamamos luz en monte castro",None,None
236,010,Prepare Yourself,"monte castro, no hay luz macri 8 alos de tu gobierno",None,None
237,011,Problems,Manana Musica noooooooooooooo,None,None
239,010,Prepare Yourself,bsas  8 anos de tu gobierno que haces  macri,None,None
241,010,Prepare Yourself,metete a pedorreo en el orto,None,None
242,013,Yao Wonka,Por fin Hablo alvaro,None,None
244,010,Prepare Yourself,rotas cadenas fondos buitres,None,None
249,007,Futurama Fry,nunca habia visto semejante pendejes en un cabron,None,None
250,003,Ay Si,Oh yes ! Today there was trembling and everyone says,None,None
253,007,Futurama Fry,ke hermosa eres lizbeth viridiana te kiero,None,None
256,004,Bad Luck Brian,Perder la virginidad Quedar  embarazada,None,None
259,009,No me digas,nomames eloy y luego,None,None
269,013,Yao Wonka,nada ajajaja,None,None
272,012,Willy Wonka,asi que decidiste graduarte eh? que se siente que un nino de cinco anos sepa mas que tu?,None,None
275,011,Problems,"Me dijo la puntita no mas Quede ""prena""",None,None
276,003,Ay Si,Ay si me joden la vida Lo que no saben es que no me imporat,None,None
278,007,Futurama Fry,No se si me sudan las nalgas O me cague,None,None
291,003,Ay Si,Ay si como no!,None,None
303,003,Ay Si,hay si hay si la pau ya se a loko,None,None
305,011,Problems,me tienen aburrida estos gueones,None,None
307,011,Problems,Me las doy de muy profesional pero siempre que hablo con los clientes la cago,None,None
316,007,Futurama Fry,YO TE VIGILO,None,None
317,009,No me digas,no me digas,None,None
323,003,Ay Si,Hay si hay si Me compro un chicharron y pienso que esta mejor que todos los coches,None,None
324,001,Ancient Aliens,hola me llamo KIKE,None,None
325,009,No me digas,quee quee.... 2 bud light de 24 oz x 29 pesossss....,None,None
327,007,Futurama Fry,No se si reIrme Levemente U orinarme de la risa,None,None
332,005,Disaster Girl,ME DIJERON QUE NO QUEDABAN CUPOS,None,None
335,005,Disaster Girl,"yo solamente ABRÍ el tanque de gas y tire un serillo, pero nada mas.",None,None
348,004,Bad Luck Brian,Se liga a una vieja... Vive hasta chalco,None,None
356,009,No me digas,"Mi amor, te levantaste un poco tarde, vas a llegar tarde al trabajo! Vos sabes que no me di cuenta! Pense que eran las 2 de la madrugada!",None,None
370,012,Willy Wonka,Dime Samuel que se Siente ser tan Putaso,None,None
376,006,Filosoraptor,camilo es bobo por naturaleza,None,None
380,006,Filosoraptor,camilo marin raro,None,None
381,012,Willy Wonka,que se siente trabajar en un gym y estar gordito,None,None
385,013,Yao Wonka,que te comiate la verga del payaso¿y te gusto?,None,None
388,006,Filosoraptor,Entendamosla es una nina diferente se pega mocos en la frente ..... valentina marin,None,None
395,011,Problems,Me invito a creeps dijo que el pagaba Nos pusieron a lavar platos,None,None
399,010,Prepare Yourself,casos psicosociales soon,None,None
406,008,Matias Prats,Y en otras noticias Samuel Muere Penetrado por un Negro,None,None
407,011,Problems,Vamos a hacer actividades dijeron Sera divertido dijeron,None,None
410,009,No me digas,aahhh osea como,None,None
411,006,Filosoraptor,la naturaleza necesita nuestra ayuda tenemos que actuar SIEMPRE escuchamos esto pero no lo ponemos en practica,None,None
416,011,Problems,se acabo la pizza,None,None
430,009,No me digas,Que ago ¿Te aplaudo?,None,None
437,004,Bad Luck Brian,jaja xd xd xd no cren que mario bautista sea gay osea gey,None,None
439,009,No me digas,enserio,None,None
441,009,No me digas,enserio no me dijas,None,None
445,009,No me digas,enserio no me digas,None,None
449,006,Filosoraptor,"yo reciclo, tu reciclas, el recicla reciclemos todos",None,None
455,004,Bad Luck Brian,Tipico te llamas yeiron y tus amigos te hacen bullyng,None,None
459,006,Filosoraptor,y y,None,None
466,004,Bad Luck Brian,"BRAN, MIRA LA MINA QUE ME ESTOY CHAMUYANDO *ERA LA DE BRAN*",None,None
474,002,Annoying Gamer Kid,gerardito y dilan y su jefe traumados con el wi,None,None
477,001,Ancient Aliens,Yo no se como cono se llama ese negro Pero la tiene asI !!!!,None,None
479,008,Matias Prats,Ultima noticia Santos vs America semifinal,None,None
488,007,Futurama Fry,No se si sera guerra de memes? O solo emocionaran como ayer y nadie publico,None,None
489,009,No me digas,manana nos toman prueba,None,None
490,004,Bad Luck Brian,Me siento mucho Estudio farmacia,None,None
493,005,Disaster Girl,Les dije que me invitaran al clan Pero no lo isieron ahora siguen ustedes lyon,None,None
500,003,Ay Si,Ay sI Ay sI Me voy morir porque te caigo mal,None,None
503,001,Ancient Aliens,buena historia falto el japish pero buena hitoria,None,None
509,004,Bad Luck Brian,SE HACE EL GRACIOSO EXPULSANDO A NEOS LO EXPULSAN,None,None
514,006,Filosoraptor,si la tierra es nuestro hogar por que estamos arrojando residuos tecnologicos sabiendo las CONSECUENCIAS de estas acciones,None,None
518,004,Bad Luck Brian,Juega minecraft. Lo matan en creativo,None,None
522,012,Willy Wonka,Si tienen dudas estoy listo para ayudarles,None,None
526,004,Bad Luck Brian,SE HACE EL GRACIOSO EN LYON LO EXPULSAN,None,None
540,007,Futurama Fry,Umm....aqui huele a virgen,None,None
546,005,Disaster Girl,la casa de mi tia me mando a buscar trabajo,None,None
550,008,Matias Prats,Creemos que el de Arriba es gey,None,None
551,008,Matias Prats,buenas noches ah todos buenas noticias el reggateton dejo de existir,None,None
552,008,Matias Prats,No se ase,None,None
553,001,Ancient Aliens,Valbuena,None,None
557,001,Ancient Aliens,son unos putos,None,None
558,009,No me digas,Naaa... franco otra vez aumento la nasssta ??? No te lo puedo cre   errrr !!!,None,None
560,009,No me digas,Ahora quien es El Chistoso?,None,None
561,008,Matias Prats,ULTIMO MINUTO por inconformidad de chiri se acaba de cancelar el dia sin carro,None,None
566,006,Filosoraptor,CHULIN ... ERES TU ??,None,None
575,009,No me digas,no me digas eschuchas reggaeton como se ciente se un idiota nivel dios,None,None
576,008,Matias Prats,En otras noticias le informamos a Axel que el clan esta lleno,None,None
578,012,Willy Wonka,DIME QUE SE SIENTE SER UN MANTENIDO A LOS 30,None,None
584,003,Ay Si,Yo me pirateo Los memes de mis cuates,None,None
585,006,Filosoraptor,Los pedos pesan... O ya me cague?,None,None
598,009,No me digas,Me vale verga,None,None
599,003,Ay Si,AY SI AY SI NO SOMOS MACHAS PERO SOMOS MUCHAS,None,None
600,008,Matias Prats,y en otras noticias leonardo dicaprio gano un oscar,None,None
603,001,Ancient Aliens,Al Halenook le importo una mierda asi de grande la guerra de memes,None,None
605,003,Ay Si,Ay tu I work for the government,None,None
606,001,Ancient Aliens,Asi es el culo de tu madre,None,None
614,005,Disaster Girl,Mis vecinos creIan en el creacionismo CreIan...,None,None
620,003,Ay Si,Ay sI Ay sI Tenes que poner que se aceptan secuestros a palmares a ver quien te da pelota,None,None
629,012,Willy Wonka,AsI que Carlos publico en face She is the one,None,None
636,002,Annoying Gamer Kid,Juego Clash of Clans Quiero saber si el rey y la reina se casan al final,None,None
639,006,Filosoraptor,K hablas Pollo,None,None
643,007,Futurama Fry,ya te cache,None,None
648,009,No me digas,y ahora quien tiene la culpa Borgui ?,None,None
656,011,Problems,La Lizzet querIa ir a la Cena Gala El Meno la saca de su mesa,None,None
658,001,Ancient Aliens,Asi es la pija del alemancito Pero q golfa,None,None
660,006,Filosoraptor,Si dos cuerpos no pueden ocupar el mismo espacio Como explican que un polItico sea corrupto?,None,None
666,001,Ancient Aliens,asi las tiene mi chiquita la lupitaa,None,None
669,009,No me digas,Enserio wey no m digas,None,None
693,003,Ay Si,"""'ai si asi'"" no me gusta puro desmadre de SKA",None,None
700,003,Ay Si,Hay yay!! Pretextos,None,None
708,007,Futurama Fry,algo planeas pero me vale verga,None,None
709,013,Yao Wonka,Notificacion de insidencia HERALDO se cago en la tv otra vez,None,None
712,007,Futurama Fry,No Se Quien Culea Mas Aylen O Angie?,None,None
719,004,Bad Luck Brian,donde esta el chiste,None,None
724,007,Futurama Fry,Quien Chupara Mas Rico Juliana O Taira?,None,None
733,009,No me digas,AAA AHORA ENTIENDO,None,None
740,003,Ay Si,"HAY SI, HAY DEFIENDO A MI HOMBRE",None,None
745,013,Yao Wonka,Y EN NOMBRE DEL ANARKISTA,None,None
747,007,Futurama Fry,che y boca donde esta ???,None,None
749,011,Problems,Yo Pense Que DecIan Birolo Por Los Ojos,None,None
750,011,Problems,Yo Pense Que Le DecIan Birolo Por Los Ojos,None,None
752,011,Problems,Esta Es La Ultima Vez Que Se Lo Doy A Eduardito,None,None
754,011,Problems,Por Favor Lore No te hagas la dormida que kiero hablas contigo,None,None
758,012,Willy Wonka,Dime que se siente ver doble,None,None
761,007,Futurama Fry,creo que ya estoy pedo,None,None
771,011,Problems,luego de copiar tanta tarea,None,None
775,009,No me digas,Como que chiro Se quiso suisidar!!!,None,None
776,006,Filosoraptor,Los jefes Dinosaurios,None,None
777,001,Ancient Aliens,tengo la verga de este tamano,None,None
779,001,Ancient Aliens,"era algo asi como sapo feo,feo,feo",None,None
781,013,Yao Wonka,Seis merino jajajaja,None,None
782,013,Yao Wonka,Meli Seis mesino jajajaja,None,None
785,011,Problems,Me dijo que tenIa azucar Y le dije winie pooh,None,None
790,012,Willy Wonka,"O SEA TU JOHNICITO CREES QUE SOMOS CAIDOS DEL PALTO?? MEJOR ANDA Y SIENTATE  EN UN HORMIGUERO,, Y LAS HORMIGAS TRAVIESAS SE EQUIVOQUEN DE AGUJERO",None,None
796,008,Matias Prats,Que paso Yo todavia no eatoy enterado,None,None
797,003,Ay Si,AsI el panda Puto,None,None
803,005,Disaster Girl,OOOPS!! CREO QUE SE ME FUE LA MANO!,None,None
806,013,Yao Wonka,que pene me da que pene me dA AJJA,None,None
812,012,Willy Wonka,apoco si.... muy chingona!,None,None
813,004,Bad Luck Brian,"Se hace llamar ""puma"" Traga Hierbitas",None,None
814,007,Futurama Fry,No se si molestarme Pedirte un consejo sobre la cancion,None,None
824,006,Filosoraptor,si tenIas una ex y ya tienes otra ex tu antigua ex vendrIa a ser una exex?,None,None
825,001,Ancient Aliens,Leonardo DiCaprio gano el Oscar..... ALIENS!!!,None,None
829,013,Yao Wonka,oSPWEL!!! QUE DIOS TE BENDIGA!!  :V,None,None
845,003,Ay Si,hay si hay si y yo soy de oro,None,None
847,003,Ay Si,paremos aqui mucha belleza para mis ojos,None,None
851,004,Bad Luck Brian,Secreto en la montana VS Secreto en el concierto,None,None
853,004,Bad Luck Brian,juega con alche radiance en min 30,None,None
854,009,No me digas,No me digas k pasado manana es viernes,None,None
857,012,Willy Wonka,ASI QUE ERES MECHON QUE SE SIENTE EL SUSPENSO DEL MECHONEO,None,None
860,007,Futurama Fry,aldahir te toy viendo deja de estar  asiendo memes,None,None
861,009,No me digas,tienes un grave problema aldahir entiendelo,None,None
867,003,Ay Si,ya todos sabemos eso,None,None
875,003,Ay Si,"AY SI, AY SI TIENE PORRO, PERO QUIERE MOSTRAR LAS TETAS",None,None
889,012,Willy Wonka,Dime yan... ¿que se siente ser admin y que te sigan ignorando?,None,None
901,008,Matias Prats,la fiesta de unete sera la mejor del ano,None,None
902,003,Ay Si,Yo no se,None,None
912,012,Willy Wonka,A poco si? Tan poca imaginacion tienes,None,None
913,001,Ancient Aliens,¿por quien votare? ¡por el mas chato!,None,None
914,001,Ancient Aliens,Why not? Traumatologos,None,None
915,001,Ancient Aliens,¿por quien votare? por el mas chato!,None,None
916,001,Ancient Aliens,¿por quien votare? por el mas chato,None,None
920,011,Problems,no se por quien votar por los nuevos sin experiencia o por el chato,None,None
924,004,Bad Luck Brian,Los de C llegan 39394 veces a puerta Quedan 0,None,None
926,011,Problems,"no se por quien votar Carhuaricra es la mejor opcion, pero es muy chato",None,None
930,006,Filosoraptor,Si LOS PGZOMBIES ESTUDIAN EN EL CULO DE AMLOCO ZOMBIENSABIOS JUAR JUAR JUAR,None,None
935,002,Annoying Gamer Kid,ya vi la six de xul ya se copiaron del hydra de dota,None,None
954,005,Disaster Girl,EL ULTIMO CUMPLEAOOS AL QUE FUI NO ESTUVO MAL DEL TODO ¿COMO VA A SER EL TUYO?   FELICIDADES TORRES !!,None,None
969,008,Matias Prats,Cuando habla Blynn,None,None
973,004,Bad Luck Brian,"Cree que aprueba castellano Saca un 0,5",None,None
974,004,Bad Luck Brian,Se descarga solo el facebook Le ponen parte,None,None
977,004,Bad Luck Brian,Dos mil seguidos Zero seguidores,None,None
982,001,Ancient Aliens,Letis,None,None
986,003,Ay Si,Revision de Ipads,None,None
991,009,No me digas,eres muy alto  ! No me digas,None,None
992,009,No me digas,en serio andy? entonces eres pajero jajajajaaj,None,None
994,009,No me digas,enserio andy? entonces eres pajero jajajajaaj,None,None
1004,005,Disaster Girl,qUANDO IL TUO SPECIALISTA DELLA FONIA LASCIA L'AZIENDA E A OGNI CHIAMATA MEDIABAR SFANCULI I COORDINATORIAPRENDO UN TICKET AI FRANCESI,None,None
1009,013,Yao Wonka,vida sexual plena dice y su chica se llama manuela dipalma jaaaja,None,None
1024,011,Problems,Noemi dijo que no tenIa baterIa pero fran le dejo el cargador,None,None
1031,011,Problems,hijo de tu madre me distes hasta dentro pero que placerr,None,None
1036,009,No me digas,En serio ? El juvenil b son el papi y 10 mas ?,None,None
1037,008,Matias Prats,Esperando a que Te den el examen,None,None
1040,008,Matias Prats,noticia de ultimo momento Andy se esta garchando a todos,None,None
1045,009,No me digas,julio deja la paja jamas,None,None
1050,009,No me digas,WHEN YOU COUPLE IS ROMANTIC,None,None
1072,001,Ancient Aliens,Latinas...,None,None
1078,001,Ancient Aliens,esi te pasa por comer pijas de este tamano extraterrestre,None,None
1079,010,Prepare Yourself,BRACE YOURSELF BASSAGAOA IS WRITING A BOOK,None,None
1080,001,Ancient Aliens,eso te pasa por comer pijas de este tamano extraterrestre,None,None
1084,009,No me digas,I'm normal?,None,None
1107,009,No me digas,Entonces Mataste a Marsella?,None,None
1108,007,Futurama Fry,Cuando tu mejor amigo Te pide prestada la xbox...,None,None
1113,013,Yao Wonka,Yermin Diaz Chavez dios te bendiga que la paz de dios sea contigo y con aquellos que comentaran,None,None
1114,010,Prepare Yourself,Preparence AhI vienen los marcos del moreno,None,None
1115,010,Prepare Yourself,Preparence AhI vienen los marros del moreno,None,None
1124,006,Filosoraptor,El que invento el reloj Como sabia que hora era,None,None
1127,003,Ay Si,2º No me sujetes durante el ataque,None,None
1134,004,Bad Luck Brian,NO HAY NUTELLA FUERA MADURO,None,None
1138,007,Futurama Fry,Y Vo Crei ke's ta leche tuya,None,None
1143,003,Ay Si,"AY SI, ESTOY OCUPADO ...gay",None,None
1145,008,Matias Prats,LOS TURA TENDRAN CACHORRILLOS!!!,None,None
1146,008,Matias Prats,¡PermIteme que insista! ¡Luna te ama!,None,None
1147,001,Ancient Aliens,No la muneca es... Sumamente mandilon,None,None
1149,008,Matias Prats,subnormal....no lo siguiente,None,None
1151,001,Ancient Aliens,Problemas en Renfe que no son culpa del dns problemas aliens,None,None
1169,011,Problems,Me opere los pechos pero no son suficiente grandes aun,None,None
1175,004,Bad Luck Brian,Toda la semana esperando la rebaja de la gasolina Tiene restriccion,None,None
1178,007,Futurama Fry,Tu mejor amigo nunca puede ni debe dejar de serlo ...........sabe mucho el maldito,None,None
1181,007,Futurama Fry,Tu mejor amigo nunca puede ni debe dejar de serlo ...sabe                      mucho el maldito,None,None
1184,011,Problems,CHRIS! NO ME BAJA CREO QUE ES NIOO,None,None
1191,008,Matias Prats,cordial saludo radio pinatica,None,None
1194,012,Willy Wonka,¿Donde quereis comer? ..Fabrica!!,None,None
1204,011,Problems,Si no te cuidas El afectado no solo eres tu,None,None
1212,008,Matias Prats,BUENO pues ya tienes el maldito disco,None,None
1213,008,Matias Prats,pues nada pues ya tienes el maldito disco,None,None
1231,008,Matias Prats,lore me acuerdo de tus tetas!!,None,None
1245,007,Futurama Fry,Jonathan Donde estas ?,None,None
1253,008,Matias Prats,ULTIMO MOMENTO ya empesaron a aparecer los sintomas de la gripe k,None,None
1254,003,Ay Si,"ay SI, AY SI QUE TE CRITIQUEN, MARICON",None,None
1264,006,Filosoraptor,las gallinas... se pelean por el gallo?,None,None
1282,009,No me digas,NO ME DIGAS EN SERIO EL 302 ES DEL GORDO!,None,None
1285,011,Problems,Ya nada te conforma yuyo,None,None
1287,011,Problems,Ya perdiste el interes en nosotros,None,None
1301,003,Ay Si,Ayy si si..... Estaba borracho ..como no..,None,None
1309,004,Bad Luck Brian,crea una base de datos decian no te la hackearan decian,None,None
1310,002,Annoying Gamer Kid,toma jugo decian sera divertido decian,None,None
1311,012,Willy Wonka,con que eres adicto a facebook? seria una lastima que te hackearan,None,None
1312,009,No me digas,asi que eres pendejo porque trabajas en tottus...,None,None
1314,009,No me digas,asi que eres pendejo... porque trabajas en tottus...,None,None
1328,003,Ay Si,AY SI NUNCA HACE FRAUDE PERO LE COGEN UNA LLAMADA EN DONDE LO HACE,None,None
1333,012,Willy Wonka,De seguro que todos los maestros le llevaran rwgalo a EPN por agradecimiento por las reformas,None,None
1338,003,Ay Si,Ay si ya se que sigues viendo mi perfil TRAUMADA FEA,None,None
1344,009,No me digas,"¿que, como? ¿que yo tipifique mal?",None,None
1346,012,Willy Wonka,Adivinaaa Quien va para AZUA! !!!,None,None
1352,011,Problems,"""windows 8 es el mejor"" malditos mentirosos",None,None
1365,009,No me digas,No me digas ? Esa madre ya ni existe!!,None,None
1366,012,Willy Wonka,¿que siente poner memes sin sentido?,None,None
1377,011,Problems,le dije que anda en mis dias me contesto que era vampiro,None,None
1379,011,Problems,le dije que andaba en mis dias me contesto que era vampiro,None,None
1382,008,Matias Prats,en otras noticias a carmen  se le prendio el cerebro,None,None
1387,004,Bad Luck Brian,MARIANA TE EXTRAOO,None,None
1388,005,Disaster Girl,MiS VECINOS ERAN REGUETONEROS ERAN...,None,None
1389,013,Yao Wonka,disculpe se le perdio un pendejo ya lo encontre,None,None
1390,007,Futurama Fry,donde estas melissa  vuelvas.,None,None
1401,004,Bad Luck Brian,Pide mekans Y LO DENEGAN,None,None
1404,004,Bad Luck Brian,Pito Pene,None,None
1407,012,Willy Wonka,que se siente ser parecerse a una ballena,None,None
1408,012,Willy Wonka,Que se siente parecerse a una ballena,None,None
1409,012,Willy Wonka,que se siente ser una foca de orilla,None,None
1411,005,Disaster Girl,Lunghi arreglarme la calle O te mando esta nena a tu casaaaa!!!!,None,None
1423,004,Bad Luck Brian,Estudia prevencion de riesgos Se accidenta,None,None
1424,003,Ay Si,AY SI AY SI LLEGASTE TEMPRANO,None,None
1434,001,Ancient Aliens,GALEGOS...,None,None
1435,004,Bad Luck Brian,juega espadeo biblico solo sale segundo,None,None
1448,003,Ay Si,yo toy meta pega,None,None
1467,001,Ancient Aliens,"Y en conclusion, eres un tarado",None,None
1468,012,Willy Wonka,a si que te refriaste justo a dias de entrar a clases sospechosa la wuea !!!!,None,None
1474,009,No me digas,La cara de angel Al vengarse del chino,None,None
1492,004,Bad Luck Brian,ammmmn emmm,None,None
1499,011,Problems,Liliana llorando Y yo que hago ahora  que Juan esta desempleado,None,None
1503,012,Willy Wonka,seria una pena que mayelin vea esto,None,None
1505,006,Filosoraptor,Mmhmmmm    Denzel Y ese es para ofenderme,None,None
1515,004,Bad Luck Brian,"acusa a los demas de ""genios del voto"" voto scioli zannini",None,None
1520,011,Problems,Me dijo que tenia 30anos Y lo tiene mas arrugado q una pasa,None,None
1522,004,Bad Luck Brian,mira que pendejos jaja,None,None
1534,001,Ancient Aliens,esta plantilla es de otro planeta,None,None
1536,004,Bad Luck Brian,Como andas del chocloso Mi chory,None,None
1546,012,Willy Wonka,"asi que el flamenco es cuna de toda la musica, Manue ¿entonces como explicas en el antiguo egipto ya hubiese musica cuando no existIa el flamenco?",None,None
1552,012,Willy Wonka,"Cuentame... aja, aja",None,None
1553,012,Willy Wonka,"el flamenco es cuna de toda la musica, Manue ¿como ex`plicas que en la antigua grecia y roma YA HUBIESE Musicos si no existIa el flamenco?",None,None
1556,012,Willy Wonka,El flamenco es cuna de toda la musica Los antiguos griegos y romanos tocaban fandangos en Esparta,None,None
1558,001,Ancient Aliens,Ese momento... Que pasa la chica que te gusta!!!!,None,None
1561,006,Filosoraptor,porque tanta contaminacion por las causas electricas acaso no podemos reciclar  para el medio ambiente,None,None
1567,001,Ancient Aliens,flow flow everywhere,None,None
1569,003,Ay Si,quien se comio mi tamal????? quiensabe,None,None
1570,006,Filosoraptor,si el mundo es nuestro hogar por que razon lo destruimos como si no lo fuera ?,None,None
1573,006,Filosoraptor,SI LOS HUMANOS TUBIERAN SEXO LOS PERROS TAMBIEN?,None,None
1574,006,Filosoraptor,si en tu conciencia esta el mejoramiento del medio ambiente por que no solo actuas en vez de pensar?,None,None
1579,006,Filosoraptor,a veces pienso trabajar pero me doy cuenta que matoneando gano mas y se me pasa,None,None
1582,001,Ancient Aliens,economIa social de mercado,None,None
1588,013,Yao Wonka,"Venga calid, te hago jefa de black ops",None,None
1589,004,Bad Luck Brian,"first order on amazon item is late, needed for a bday gift, is from a 3p seller in china, paid with a closed cc",None,None
1590,006,Filosoraptor,a veces quiero que mi hermano menor sea normal luego recuerdo que se golpeo la cabeza con la mesa y se me pasa,None,None
1592,006,Filosoraptor,si sabemos que el futuro de nuestros hijos esta en riesgo por que seguimos contaminando su futuro hogar ?,None,None
1593,012,Willy Wonka,SEOOR PRESIDENTE  CON TODO RESPETO  LE FALTA UN TORNILLO SUS FUNCIONARIOS TIENEN OBLIGACION DE CONSTESTAR TODO LO QUE LE AFECTA AL PUEBLO,None,None
1599,004,Bad Luck Brian,O LA K ASE,None,None
1601,004,Bad Luck Brian,"first order on amazon item is late, needed for a bday gift, is from a 3p seller in china, paid with pinless debit",None,None
1606,007,Futurama Fry,Como le haria un buen purrum en el ogt a la profe,None,None
1607,006,Filosoraptor,acaso odias tanto al  medio ambiente PORQUE : sabiendo que hay esta el futuro de nuestra generacion  recicla,None,None
1615,011,Problems,no lloras hoy es un dIa especial el dIa tuya mujeres si no fuera por vosotra no estarIamos aquI feliz,None,None
1616,010,Prepare Yourself,Hola soy Cristian Buenos dIas grupo,None,None
1617,008,Matias Prats,URIBE PIDE A LA COMUNIDAD INTERNACIONAL NO APLICAR LA JUSTICIA COLOMBIANA A SU FAMILIA,None,None
1622,006,Filosoraptor,logico es tan importante porque hay tanta brutalidad,None,None
1623,006,Filosoraptor,si el reciclaje tecnologico es tan importante porque hay tanta brutalidad,None,None
1625,006,Filosoraptor,si la gente es tan inteligente porque no saben reciclar,None,None
1627,003,Ay Si,Ami me dijeron que pagan en marzo Ahora si me enganron no se,None,None
1628,011,Problems,Y entonces... ...no piso home,None,None
1634,008,Matias Prats,Ultima hora A silvana se le acabaron los videos de porno,None,None
1638,006,Filosoraptor,Si te dicen ponte pilas y se acaban.. las reciclas?,None,None
