,meme_id,plantilla,texto_no_tilde,text_1,text_2
39,012,Willy Wonka,asi que el profe pina no te ayudo en el proyecto? y dime... como te hace sentir eso??',asi que el profe pina no te ayudo en el proyecto? y ,dime... como te hace sentir eso??'
43,012,Willy Wonka,¿AsI que votaste por el NO y no tienes propuestas alternas? Ahora dime que se siente ser tan idiota.,¿AsI que votaste por el NO y no tienes propuestas alternas? Ahora ,dime que se siente ser tan idiota.
58,003,Ay Si,ay si Santiago no diga que no le gusto papito,ay si, Santiago no diga que no le gusto papito
92,007,Futurama Fry,mmm o sera q la popis  al lado de la tiger ya sta aguelusca jajaja,mmm, o sera q la popis  al lado de la tiger ya sta aguelusca jajaja
153,012,Willy Wonka,asi es que medel dice que recupero la piscina municipal dime es la misma piscina que el perdio el 2011???,asi es que medel dice que recupero la piscina municipal ,dime es la misma piscina que el perdio el 2011???
290,004,Bad Luck Brian,Colombia quiere la paz hace un acuerdo y lo somete a votacion. Gana el no.,Colombia quiere la paz hace un acuerdo y, lo somete a votacion. Gana el no.
327,003,Ay Si,Hay si ud pendiente de mis salidas y luego sufre por eso jajajajajaja,Hay si, ud pendiente de mis salidas y luego sufre por eso jajajajajaja
335,003,Ay Si,Hay si la que solo para la escuela tiene y pregunta q ya no salimos,Hay si, la que solo para la escuela tiene y pregunta q ya no salimos
344,003,Ay Si,Hay si esta Perra marIa dis q me enseno chila mierda,Hay si, esta Perra marIa dis q me enseno chila mierda
422,003,Ay Si,uuuuy si no me digas,uuuuy si, no me digas
425,007,Futurama Fry,Estara muy bien la tarea o la fregue por completo,Estara muy bien la tarea, o la fregue por completo
459,006,Filosoraptor,¿cOMO PUEDO CRITICAR LA GLOBALIZACION SIN INTERNET?,,¿cOMO PUEDO CRITICAR LA GLOBALIZACION SIN INTERNET?
471,006,Filosoraptor,¿PUEDO CRITICAR LA GLOBALIZACION POR INTERNET?,,¿PUEDO CRITICAR LA GLOBALIZACION POR INTERNET?
570,003,Ay Si,ay si ay si tengo ojos tapatios,ay si ay si, tengo ojos tapatios
572,012,Willy Wonka,"Asi que eres la mujer mas feliz del mundo? dime, que se siente tener un novio tan guapo gentil generoso trabajador y aparte que se llame luis",Asi que eres la mujer mas feliz del mundo? ,dime que se siente tener un novio tan guapo gentil generoso trabajador y aparte que se llame luis
603,004,Bad Luck Brian,Le manda ya duermete Y no le contestan por que ya se durmio,Le manda ya duermete Y no, le contestan por que ya se durmio
608,011,Problems,Dijo que la cagaba y al final la cago el..,Dijo que la cagaba, y al final la cago el..
620,004,Bad Luck Brian,5096335 intentos del easter egg Porfin lo hacemos y el pepelu se queda sin gusano,5096335 intentos del easter egg Porfin, lo hacemos y el pepelu se queda sin gusano
663,006,Filosoraptor,¿Apoya usted el acuerdo final para enviar un misil y desviar el meteorito? NO,,¿Apoya usted el acuerdo final para enviar un misil y desviar el meteorito? NO
667,012,Willy Wonka,Y dime que se siente Crear un meme,Y ,dime que se siente Crear un meme
695,004,Bad Luck Brian,Estaba haciendo un trabajo se le va la luz,Estaba haciendo un trabajo, se le va la luz
762,012,Willy Wonka,"asi que estas haciendo memes con esto dime, que se siente ser retrasado?",asi que estas haciendo memes con esto ,dime que se siente ser retrasado?
769,003,Ay Si,"Ay si ay si Hermanito, hermanito",Ay si ay si, Hermanito hermanito
772,003,Ay Si,Ay si ay si Hermanito hermanito,Ay si ay si, Hermanito hermanito
793,003,Ay Si,"ay si, ay si soy la dra.cinthya",ay si ay si, soy la dra.cinthya
794,003,Ay Si,"ay si, ay si soy la dra. cinthya",ay si ay si, soy la dra. cinthya
805,012,Willy Wonka,Asi que vendiste tu alma y la de tu familia al diablo por riqueza claro; por favor cuentame acerca de como queres romper un pacto con satanas,Asi que vendiste tu alma y la de tu familia al diablo por riqueza claro; por favor ,cuentame acerca de como queres romper un pacto con satanas
810,004,Bad Luck Brian,Cuando le preguntas a un colega que hizo la noche anterior con tus colegas. No quieras saber lo.,Cuando, le preguntas a un colega que hizo la noche anterior con tus colegas. No quieras saber lo.
832,004,Bad Luck Brian,"Vota por el si, pierde Se va a USA, gana Trump, lo deportan",Vota por el si pierde Se va a USA gana Trump, lo deportan
836,012,Willy Wonka,asi que tu y tu senora no conviven como tales dime que se siente tener que fingir que se conocen,asi que tu y tu senora no conviven como tales ,dime que se siente tener que fingir que se conocen
839,012,Willy Wonka,asi que tu y tu senora no conviven como tales dime que se siente tener que fingir que se conocen para ser mas interesante su relacion,asi que tu y tu senora no conviven como tales ,dime que se siente tener que fingir que se conocen para ser mas interesante su relacion
843,012,Willy Wonka,asi que tu y tu senora no se pescan dime que se siente tener que fingir que se conocen para ser mas interesante su relacion,asi que tu y tu senora no se pescan ,dime que se siente tener que fingir que se conocen para ser mas interesante su relacion
852,004,Bad Luck Brian,Esteban... se la come,Esteban..., se la come
861,007,Futurama Fry,No se retar al diablo fue bueno o estupido,No se retar al diablo fue bueno, o estupido
873,007,Futurama Fry,No se si lo hace por trolear o va en serio el tio,No se si lo hace por trolear, o va en serio el tio
890,003,Ay Si,Ay si ay si Chuchito le va al America,Ay si ay si, Chuchito le va al America
912,008,Matias Prats,noticia de ultima hora  en noviembre aniversario de mc aventureros cuitlahuac,noticia de ultima hora,  en noviembre aniversario de mc aventureros cuitlahuac
934,004,Bad Luck Brian,se compra un pc de mil euros le rompe un pin de la placa base el primer dia,se compra un pc de mil euros, le rompe un pin de la placa base el primer dia
942,003,Ay Si,ay si claro me pone me gusta y ni me habla,ay si, claro me pone me gusta y ni me habla
1045,003,Ay Si,Ay si...ay si... Me che mucho porque trabajo medio turno.....jajaja,Ay si...ay si,... Me che mucho porque trabajo medio turno.....jajaja
1047,003,Ay Si,Ay si...ay si... Me creo mucho porque trabajo medio turno.....jajaja,Ay si...ay si,... Me creo mucho porque trabajo medio turno.....jajaja
1153,005,Disaster Girl,ella decia que no PODÍA COMER DULCES por las caries decia,ella decia que no PODÍA COMER DULCES por las caries ,decia
1154,005,Disaster Girl,mi mama decia que no PODÍA COMER DULCES por las caries decia,mi mama decia que no PODÍA COMER DULCES por las caries ,decia
1213,004,Bad Luck Brian,Pide vacaciones se enferma,Pide vacaciones, se enferma
1229,011,Problems,cuando piensas que es sabado por la noche despiertas y es lunes,cuando piensas que es sabado por la noche despiertas, y es lunes
1235,004,Bad Luck Brian,Por fin se gradua Es ley seca,Por fin, se gradua Es ley seca
1242,011,Problems,me dijo que me mandaba la booking y sigo esperando,me dijo que me mandaba la booking, y sigo esperando
1245,011,Problems,cuando determinas la pared del sistema y era su corazon,cuando determinas la pared del sistema, y era su corazon
1267,011,Problems,cuando calculaste en celcius y era en kelvin,cuando calculaste en celcius, y era en kelvin
1313,006,Filosoraptor,Si a la tierra se le dice globo terraqueo... ¿estabamos destinados a estar globalizados?,Si a la tierra se le dice globo terraqueo... ,¿estabamos destinados a estar globalizados?
1327,004,Bad Luck Brian,vota no al plebiscito le secuestran la mama en un reten,vota no al plebiscito, le secuestran la mama en un reten
1348,003,Ay Si,Hay si solo la uasd Y la ucne pa cuando,Hay si, solo la uasd Y la ucne pa cuando
1427,004,Bad Luck Brian,Vota No por que es entregar el paIs a las farc Se lo entrega a la ultraderecha y el paramilitarismo,Vota No por que es entregar el paIs a las farc Se, lo entrega a la ultraderecha y el paramilitarismo
1454,004,Bad Luck Brian,Vota No porque es entregar el paIs a las farc Se lo entrega a la ultraderecha y el paramilitarismo,Vota No porque es entregar el paIs a las farc Se, lo entrega a la ultraderecha y el paramilitarismo
1459,003,Ay Si,Ay si ay si Fui en Espana,Ay si ay si, Fui en Espana
1464,003,Ay Si,Ay si ay si Fui a Europa con mi familia favo,Ay si ay si, Fui a Europa con mi familia favo
1467,006,Filosoraptor,"dicen que el voto del no, no fue un ""no"" a la paz entonces ¿fue un ""si"" a las farc?","dicen que el voto del no no fue un ""no"" a la paz entonces ","¿fue un ""si"" a las farc?"
1537,006,Filosoraptor,si juancami es tan fuerte ¿porque no pelea contra roman4?,si juancami es tan fuerte ,¿porque no pelea contra roman4?
1559,012,Willy Wonka,"asi que eres masista dime, que se siente que te digan ladron, asesino, violador, corrupto, ignorante",asi que eres masista ,dime que se siente que te digan ladron asesino violador corrupto ignorante
1566,003,Ay Si,ay si Ay s Aysi... ahora todos se averguenzan de ser Colombianos .,ay si, Ay s Aysi... ahora todos se averguenzan de ser Colombianos .
1752,006,Filosoraptor,si tanto reclaman que todos los politicos son lacrones y corruptos ¿porque votan siempre por los mismos?,si tanto reclaman que todos los politicos son lacrones y corruptos ,¿porque votan siempre por los mismos?
1758,006,Filosoraptor,si tanto reclaman que todos los politicos son corruptos y ladrones ¿porque salen elegidos los mismos?,si tanto reclaman que todos los politicos son corruptos y ladrones ,¿porque salen elegidos los mismos?
1857,003,Ay Si,Ay si ay si... no le entregamos a colombia a los delincuentes como si los politicos colombianos fueran unas santas palomas,Ay si ay si,... no le entregamos a colombia a los delincuentes como si los politicos colombianos fueran unas santas palomas
1928,003,Ay Si,Hay si me creo mucho por que traigo un Nissan Y soy bien  mandilon,Hay si, me creo mucho por que traigo un Nissan Y soy bien  mandilon
1934,003,Ay Si,ay si la imaginaria no lo desperto ¿cierto?,ay si, la imaginaria no lo desperto ¿cierto?
1951,003,Ay Si,"ay si, ay si, dicen que lo facil les aburre y ahi estan como perros al hueso",ay si ay si, dicen que lo facil les aburre y ahi estan como perros al hueso
1966,003,Ay Si,Hay si me hablan mal de mI Nissan Y me ofendo,Hay si, me hablan mal de mI Nissan Y me ofendo
1980,003,Ay Si,Uy sii uy sii Dany Sales muy guapo,Uy sii uy si,i Dany Sales muy guapo
2025,004,Bad Luck Brian,Le dan contrato No le pagan,Le dan contrato No, le pagan
2030,012,Willy Wonka,asi que tu y tu mujer no se pescan dime que se siente fingir que no se conocen,asi que tu y tu mujer no se pescan ,dime que se siente fingir que no se conocen
2041,012,Willy Wonka,de cumpleanos? dime que se siente que a todos los que pelas dia a dia te den regalos,de cumpleanos? ,dime que se siente que a todos los que pelas dia a dia te den regalos
2071,004,Bad Luck Brian,Compra ropa No le queda nada,Compra ropa No, le queda nada
2100,007,Futurama Fry,yo nose si le sobra tiempo o no tiene nada que hacer.,yo nose si le sobra tiempo, o no tiene nada que hacer.
2131,012,Willy Wonka,asi que te quieres separar de Mexico cuentame que se siente hacer berrinches polIticos,asi que te quieres separar de Mexico ,cuentame que se siente hacer berrinches polIticos
2197,003,Ay Si,ay si ay si ay si entonces tu eres el chico de los ojitos lindos,ay si ay si, ay si entonces tu eres el chico de los ojitos lindos
2208,011,Problems,Como cuando te dice que su celular esta en bienestar y luego te enteras de que se mensajea con pokemones,Como cuando te dice que su celular esta en bienestar, y luego te enteras de que se mensajea con pokemones
2211,003,Ay Si,ay si ay si ay si entonces tu te crees el chico de los ojitos lindos,ay si ay si, ay si entonces tu te crees el chico de los ojitos lindos
2223,003,Ay Si,y entonces tu que crees te vas a ir a dormir sin mo mensaje de buenas noches ya dijo pues ay si ay si ay si,y entonces tu que crees te vas a ir a dormir sin mo mensaje de buenas noches ya dijo pues ay si ay si, ay si
2229,003,Ay Si,y entonces tu crees que te vas a ir a dormir sin mi mensaje de buenas noches pues ya dijo pues ay si ay si ay si,y entonces tu crees que te vas a ir a dormir sin mi mensaje de buenas noches pues ya dijo pues ay si ay si, ay si
2257,012,Willy Wonka,asi que te pasas de largo a la recepcionista dime que se siente que no te avisen que ya esta el jefe en su oficina?,asi que te pasas de largo a la recepcionista ,dime que se siente que no te avisen que ya esta el jefe en su oficina?
2323,004,Bad Luck Brian,Dice ser el mejor jugando fifa todos le ganan y bota tres penales,Dice ser el mejor jugando fifa todos, le ganan y bota tres penales
2355,004,Bad Luck Brian,muere la abuela anciana millonaria lo desereda por almorzar donde la  otra abuela,muere la abuela anciana millonaria, lo desereda por almorzar donde la  otra abuela
2374,008,Matias Prats,Noticia de ultima hora yadis cardona Es la mujer de los suenos de hector RenterIa,Noticia de ultima hora, yadis cardona Es la mujer de los suenos de hector RenterIa
2416,008,Matias Prats,atencion  ultima hora La primera propuesta concreta de Uribe es cambiar la letra del acuerdo por Tahoma 14 pts,atencion  ultima hora, La primera propuesta concreta de Uribe es cambiar la letra del acuerdo por Tahoma 14 pts
2434,007,Futurama Fry,No se si me halagan o se estan burlando de mi,No se si me halagan, o se estan burlando de mi
2452,003,Ay Si,ay si!! ya dejenme de hacerme memes,ay si,!! ya dejenme de hacerme memes
2486,004,Bad Luck Brian,soy lindo lo se,soy lindo, lo se
2492,003,Ay Si,"ay si, SE CREEN INVESTIGADORES solo porque ya saben que walt disney esta congelado",ay si, SE CREEN INVESTIGADORES solo porque ya saben que walt disney esta congelado
2498,012,Willy Wonka,Procesos de slot games... cuentame mas ameo,Procesos de slot games... ,cuentame mas ameo
2515,007,Futurama Fry,no se si me duele mas quedar como un culo frente al mundo o que en 15 dias hay parciales de nuevo XDXD,no se si me duele mas quedar como un culo frente al mundo, o que en 15 dias hay parciales de nuevo XDXD
2557,007,Futurama Fry,o leo es puto... o lo de paula no tiene inflamado el clitoris,o leo es puto..., o lo de paula no tiene inflamado el clitoris
2562,007,Futurama Fry,o mi hermano es puto o mi mujer es travesti,o mi hermano es puto, o mi mujer es travesti
2563,003,Ay Si,"Ay si ay si ""el tavo sabe todo""",Ay si ay si," ""el tavo sabe todo"""
2813,013,Yao Wonka,asi que le quitaste la esposa a un ciego ¿dime que se siente no tener dignidad?,asi que le quitaste la esposa a un ciego ¿,dime que se siente no tener dignidad?
2837,004,Bad Luck Brian,Hace un sobreseimiento para finalizar la causa La Camara se lo revoca,Hace un sobreseimiento para finalizar la causa La Camara, se lo revoca
2848,003,Ay Si,ay! si ay si ! se hace la delicada esta puta,ay! si ay si, ! se hace la delicada esta puta
2853,012,Willy Wonka,"asi que no tenias hambre dime que se siente comer 2 hotdogs, pollo con frijoles y platano con leche",asi que no tenias hambre ,dime que se siente comer 2 hotdogs pollo con frijoles y platano con leche
2871,004,Bad Luck Brian,"Manana lleven sus gaseosas Muchachos, habra mucho que tomar, se los aseguro!!!",Manana lleven sus gaseosas Muchachos habra mucho que tomar, se los aseguro!!!
2876,004,Bad Luck Brian,"Manana lleven sus gaseosas muchachos Habra mucha sed, se los aseguro!!!",Manana lleven sus gaseosas muchachos Habra mucha sed, se los aseguro!!!
2880,004,Bad Luck Brian,Se queda en su casa para jugar fifa Se le va la luz,Se queda en su casa para jugar fifa Se, le va la luz
