id ,plantilla,texto
 972134, Sparta, nooooooooo ooooooooo 
 972129, Bad Luck Brian, se cambia a software libre se infecta con troyano 
 972131, Bad Luck Brian, quiere ir al concierto de megadeth en colombia era ayer 
 972132, Whyyy, porqueeeeeeee! tuvo que nacer miley cyrus 
 972133, Whyyy, HAS PASEAR A TU PRIMA DECIAN NO VAS A GASTAR NADA DECIAN 
 972128, Bad Luck Brian, Estudia en la upb  lo obligan a comprar album  y laminitas 
 972130, Personalizado, : ' 
 972135, Personalizado, Hace su trabajo por primera vez le dicen que los de otro grupo se lo pasaron 
 972138, Ay Si, ay si les digo k son mis amigas y cuando no estan hablo de ellas. que hipo soy. 
 972137, Personalizado, que bonito el carrito de richard 
 972136, Troll, aunque mi tiempo de vida sea de un dia... 
 972139, Ay Si, y vassallo se cree hombre igual que castor  
 972143, Personalizado, nunca pense   k esistia mi alma gemela 
 972141, Personalizado, a la decada pero se  graduo 
 972142, Bad Luck Brian, esta soltero nadie le da chance 
 972140, Futurama Fry, No se si es demasiado caro o eres demasiado pobre 
 972144, Ancient Aliens, porque cuando vivia en cali jugaba en las inferiores del america 
 972145, Challenge Accepted," ir en un carro, con cristian manejando! "
 972146, Bad Luck Brian," JUEGA AL ZOO ES ASMATICO, SE LE ACABA EL AIRE Y LE VUELAN EL ANO A PATADAS "
 972147, Challenge Accepted, tenia  que existir el lunes?  
 972150, Overly Attached Girlfriend, deja a esa guitarra Â¿te importa mas ella que yo verdad? 
 972148, Futurama Fry, no se si es full axs o es full lÃ¡mpara xd 
 972149, Personalizado, yo......soy...... ...el administrador de tuff puppy mexico!!! 
 972151, Personalizado, O no puede ser  le hare el pete uri uri uri 
 972152, Filosoraptor, if tobacco is legal and kills more than 10 million people at year ... Why marijuana is illegal and no one dies for their use? 
 972153, Ay Si, ay si ai si me llamo magda & como pizza fud & arroz con leche & no le doy a mi hermanitho 
 972154, Bad Luck Brian, se cambia a software libre se infecta  de un troyano 
 972155, Bebe furioso, Carnet??? Acabe de Salir hace 5 minutosss 
 972156, Por favor, le das like a la pagina de tal vez sea estupido pero tambien es tonto 
 972157, Personalizado, oh My weed 
 972158, Bear Grylls, me perdi en el pasillo de mi casa... creo que comenzare a beber mis orines 
 972159, Personalizado, Alguien ha visto.. al geovany? 
 972161, Rage FU, esta es tu cara cuando te baneean 
 972160, Personalizado," entonces ......... ......... si no cumples las leyes   de dios ARDERÃS en el infierno  y seras torturado por toda  la eternidad , pero dios  ""te ama "" "
 972162, Willy Wonka, hiciste cadena nacional en hora de novelas? que se siente no ser escuchado por nadie? jaja 
 972163, Challenge Accepted, challenge accepted NADIE PASA CON HAROLD 
 972164, Por favor, poresita tatiana no le recojen la chancla de la alcantarilla 
 972165, Personalizado, AHORA SI SEÃ‘ORES SALIO MARRANUELA Y TENEMOS QUE CELEBRAR 
 972166, Personalizado, una pared con musgo pal facebook 
 972167, Pulp Fiction, con que tu eres pendejo molestando a mi vieja la bartola  
 972168, Bad Luck Brian, trata de hacer un meme no se le ocurre ninguna idea 
 972169, Bad Luck Brian," lo sacan de ""yo soy"" no le dan el cuadro "
 972170, Challenge Accepted," ir en un carro, con cristian manejando! "
 972171, Ay Si, AY SI AY SI ME SAQUE 3.0 EN EL PARCIAL Y YA PASASTE EL SEMESTRE 
 972173, Mr Bean, DEJA DE ESCUCHAR A MICHAEL JACKSON Y HAZ TU TAREA 
 972172, Trologirl," si soy directionista amo a jerry,nail,lois,zeyn "
 972174, Filosoraptor, Si No existiera Facebook Que Ariamos En este Monmento ?? 
 972175, Bad Luck Brian, se agarra el pene  le salen granos  
 972176, Personalizado, para mi el mejor gripo que existe 
 972177, Ay Si, las peluchonas mas respetacion 
 972178, Yao Wonka, asi que te lavas la pocha dime que se siente tener una 
 972179, Personalizado, mi alma gemela 
 972180, Ay Si, ay si ay si  ahora todos quieren tener paginas de bleach 
 972181, Y U No, por que mierda  nose juntan para una gran previa 
 972182, Whyyy, si soy tu bebe por que no me das teta? 
 972183, Futurama Fry, NO SE SI ES EL RORO O CALAMARDO 
 972184, Yao Ming 2, que ivan es guapo jajaja ni que fuera piter parker 
 972185, First World Problems, Te arrepientes de lo que dices Pero no de lo que piensas 
 972186, Stoner Stanley, yoo soy de agro si seÃ±or es un sentimiento de corazon... sopa de caracol! hey! 
 972187, Ay Si, ay si ay si boy ala 10. y me creo bn chingon :p 
 972188, Boromir," El salvadoreÃ±o no come carne de cerdo, come carne de cuche "
 972190, Koala, esta la cara despues de un chiquitingo manual 
 972189, Willy Wonka, ASI QUE ERES FAN DE THE BEATLES DIME UNA CANCION QUE NO SEA YESTERDAY NI YELLOW SUBMARINE 
 972191, Yo Dawg,   
 972192, Willy Wonka, Y POR QUE CARAJOS LE REGALE MI SUPER FABRICA DE CHOCOLATE AUN NIÃ‘O POBRE!? 
 972193, Bad Luck Brian, tiene una piedra de mascota se le escapa 
 972194, Personalizado, OK SALIO MARRANUELA Y TENEMOS QUE CELEBRAR 
 972198, Bad Luck Brian, va al zologico los animales se esconden 
 972195, Willy Wonka," asÃ­ que vas al ""campus"" de la u dime que se siente llegar oliendo a mirihuana "
 972196, Problems," profe, llegue tarde a clase porque me quede hasta tarde mirando la novela, porque cristina metio una puta cadena "
 972197, Yao Wonka, como se siente hirse ala ceci y dejar a tus amigos :jorgeyael 
 972199, Ay Si, Ay si ay si te tomAsfotos en webcam   posAs sexy y de todos modos  sAles horrible 
 972200, Por favor, Conectate lina te extraÃ±o att:andy  
